Design #,Case,Problem Framing - Relevant behaviors,Problem Framing - Target Outcome,Change Demand - Novelty,Change Demand - Scope,Change Demand - Frequency,Behavioral Constraints - Environmental Opportunity,Behavioral Constraints - Social opportunity,Behavioral Constraints - Technical Opportunity - Object,Behavioral Constraints - Technical Opportunity - Tool,Change Demand (total),Change Demand (high / low),Behavioral Constraint (total),Behavioral Constraint (high / low),Solution Principles,Solution - Mode of Delivery,Effect of design?,Rationale - Mechanism of Action,Use When - Population engagement,Use When - Contextual Cues,Use When - Areas of Application,Notes on Choice Infrastructure,Evoke emotions,Impose expectations,Set standards,Enhance commitment,Help construct self-image,Provide reward,Provide punishment,Set goals,Provide guidance,Provide feedback,Practice behavior,Present possible consequences,Prime users,Use triggers,Tell or show what others do,Consider messenger,Validate action,Present info figuratively,Make it salient,Require Action,Selectively present choices,Make it simple,Divert Action,SUM of Principles
1,2,Not enough adoption of opportunity (rebate for energy efficient upgrades); also misconceptions (about applicability),Individual: Increase response rate of business owners,1,0,0,1,1,0,0,1,LOW,2,HIGH,"Comparison of outcomes - credible source;
Tell or show what others do;
Make it salient;

(intervention business style letter effect was 81% more responses than control)",Information - printed; Individual based; Push; ,Better,"Knowledge; 
memory, attention, and decision processes",low,owners skeptical of adoption of retrofitting and the benefits of the rebate,better equipment; adoption; energy efficiency,Contractor has barrier of applications being onerous; never mentioned completed rebates or applications sent to government; may have missed the strategic mark tbh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
2,2,Not enough adoption of opportunity (rebate for energy efficient upgrades); also misconceptions (about applicability),Individual: Increase response rate of business owners,1,0,0,1,1,0,0,1,LOW,2,HIGH,"Present possible consequences;
Provide guidance;

(postcard; effect was 50% LESS responses than control)",Information: printed material; Individual based; Push,Worse,"Knowledge; 
Memory, attention, and decision processes",low,owners skeptical of adoption of retrofitting and the benefits of the rebate,better equipment; adoption; energy efficiency,Contractor has barrier of applications being onerous; never mentioned completed rebates or applications sent to government; may have missed the strategic mark tbh,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
3,12,decrease consumption of electricity at household level during peak hours; lots of energy demand during peak hours,Individual: offset energy use during peak times from energy customers,0,1,1,1,0,0,0,2,HIGH,1,LOW,"Provide guidance;
Use triggers;
Provide feedback;
Tell or show what others do;

(social nudge; 3.8% reduction in electricity)",Information - Audio Informational; Uni-directional; Pull; Individual Based; (phone call),Better,"Feedback processes (2nd phone call only); 
Norms (2nd phone call only); 
Knowledge (1st phone call only); 
Motivation (both calls)",low,feedback is normalized; ,energy use; household; time of day,I'm just going to say it; the US government and utility companies hold responsibility for managing and building an energy grid that supplies energy whenever customer want it; while this nudge worked it also reveals the ways the individuals are penalized and held responsible for failures and greed of corporations and lack of investment by US government; this is a governance problem - not a home-owner problem; using nudges in this way is akin to solving a systems problems with individual behavior. It probably shouldn't be approached this way and considering how to get utilities to reinvest in the infrastructure they maintain might bring more social good than norming individual households,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4
4,12,decrease consumption of electricity at the household level,Individual: decrease consumption of energy per household ,0,1,1,1,0,0,0,2,HIGH,1,LOW,"Provide feedback;
Tell or show what others do;

(2.1% reduction in electricity usage)",Information - printed material; Individual Based; Push,Better,"Feedback processes; 
norms;
Knowledge",low,feedback is normalized; reports are already used (path dependency of design),energy use; household,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
5,12,"decrease consumption of electricity at household level, particularly during peak hours",Individual: decrease consumption of energy per household ; especially during peak hours,0,1,1,1,0,0,0,2,HIGH,1,LOW,"Tell or show what others do;
Provide feedback;
Provide guidance;
Use triggers;
(6.8% reduction in electricity usage; these two approaches work well together; are additive; feedback on behavior for second phone call)","Information - printed material;
Individual based;
Push; Pull;
Information - audio;
",Better,"Feedback processes (2nd phone call and report); 
Norms (2nd phone call and report);
Knowledge (1st phone call and report); 
Motivation (all interventions)",low,both,energy use; household,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4
6,15,Increase volunteer retention and community in volunteering,Community: increase those volunteering for a longer time with West Java EPA,0,1,1,1,0,0,0,2,HIGH,1,LOW,"Use triggers; (text reminders); 
Consider messenger; (sent from Head Volunteer); 
Help construct self-image;
Present possible consequences;

(Longer, monthly messages about environmental challenges over 3 months; 58.7% of volunteers attended - no difference)","Information: text via WhatsApp; 
Group-based ",No difference,"Knowledge; 
Social Identity (negative consequences of environmental degradation can trigger positive environmental behaviors);
Motivations;
messenger effects (from leader); 
Behavioral cueing (timely reminders)",medium,repetitive behavior; community behavior; shared understanding; shared identity; relevant or motivating work,volunteer; environmental; community,repetitive behavior; environmental problems; volunteering organization; community directed initiatives; probably should have paid support as well (or just be a government service) - but whatever;,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4
7,15,Increase volunteer retention and community in volunteering,Community: increase those volunteering for a longer time with EPA,0,1,1,1,0,0,0,2,HIGH,1,LOW,"Use triggers; (text reminders);
Set goals;
Social support (practical); 
Help construct self-image; 
Consider messenger; (sent from Head Volunteer)

(Short, weekly messages over 3 months 60.3% of volunteers attended - no difference)","Information: text via WhatsApp; 
Group-based ",No difference,"Knowledge;
Social Identity (volunteer); 
Motivations (personal growth and its benefits); 
planning support; 
messenger effects (from leader); 
Behavioral cueing (timely reminders)",medium,repetitive behavior; community behavior; shared understanding; shared identity; relevant or motivating work,volunteer; environmental; community,message was in Bahasa (Indo official language);and not Sundanese (second most popular language); also could have negative effects from too many reminders (gravert's study on when reminders are reasons to opt-out),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4
8,18,"Improve self-efficacy, responsibility, and awareness of flood resilience measures",Individuals: Improve the 'How to plan ahead for flooding' webpage,1,1,0,1,1,0,0,2,HIGH,2,HIGH,"Provide guidance;
Tell or show what others do; (Social modeling which uses homeowning couple as case study of flood preventing techniques); 
Make it salient;
Present info figuratively; (increase salience with images and text chunked design)",Information - electronic; ,no difference,"Beliefs about capabilities (self efficacy); 
Knowledge;
Norms;
Motivation",low,information seeking; flood risk; government communications,homeowner; information; governments,ran a random controll trial to test website changes; knowledge and content was more important than anything else ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4
9,18,Increase engagement with EA's online content about flooding,Individuals: Increase click-through traffic to key web content from social media ads; measured engagement by click through rate and video play to completion rate,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Provide guidance;
Present possible consequences; (local reciprocity: government and homeowners relationship in a location)",Information - electronic; social media campaigns and advertisements,Better,"Norms (reciprocity); 
Knowledge; 
increase salience; personalized information",low,information seeking; flood risk; government communications,homeowner; information; governments,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
10,18,Increase engagement with EA's online content about flooding,Individuals: Increase click-through traffic to key web content from social media ads; measured engagement by click through rate and video play to completion rate,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Provide guidance;
Help construct self-image;
Present possible consequences;

 (location risk) had mixed effects",Information - electronic; social media campaigns and advertisements,Mixed effect,"Knowledge; 
Perceived Susceptibility (increase salience to location risk); 
leverages loss aversion; 
Social Role (as homeowner);
personalized information",low,information seeking; flood risk; government communications,homeowner; information; governments,,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
